Canal,Formato,Tienda,Marca,Genero,Tipo,Precio_Lista,Cantidad_Inventario,Cantidad_Ventas,Despacho
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,1099900.0,24.0,0.0,29.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,1199900.0,23.0,0.0,18.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,1299900.0,9.0,0.0,7.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,1399900.0,15.0,0.0,17.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,1499900.0,8.0,0.0,7.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,1599900.0,10.0,0.0,11.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,VESTIDO,1199900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,VESTIDO,1299900.0,5.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,VESTIDO,1699900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,VESTIDO,1799900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,VESTIDO,1999900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,2399900.0,3.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,2549900.0,4.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,2699900.0,3.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,3699900.0,4.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,3799900.0,4.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,3899900.0,8.0,0.0,10.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,5499900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BERMUDA,699900.0,1.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BERMUDA,999900.0,3.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BERMUDA,1399900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,499900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,749900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,799900.0,4.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,899900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,949900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,1499900.0,3.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,1799900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,849900.0,6.0,0.0,10.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,899900.0,4.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,949900.0,2.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,999900.0,6.0,0.0,9.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,1099900.0,15.0,0.0,26.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,1199900.0,4.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,1399900.0,3.0,0.0,13.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,1499900.0,10.0,0.0,10.0
