Mes_Cierre,Codigo_Tienda,Tienda,Ciudad,Formato,Jefe_Zona,Target_Tasa_Recompra,Ticket_Promedio_3M,AUR_Neto_3M,Porcentaje_Descuento_3M,Tasa_Devolucion_Dinero_3M,Share_Bottoms_3M,Share_Tops_3M,Share_Calzado_3M,Share_Accesorios_3M,Share_MarcasPropias_3M,Share_Outlet_3M,Share_Femenino_3M,Share_Masculino_3M,UPT_3M,Penetracion_Bottoms_3M,Tasa_Outfit_Completo_3M,Tasa_Captura_HabeasData_3M,Tasa_Captura_Email_3M,Tasa_Captura_Celular_3M,Antiguedad_Promedio_Ponderada_3M
2025-12-01,M02,MFG OVIEDO MEDELLIN,Medellín,MFG,HENAO LOPEZ MARIBEL,0.0879,443875.49,246798.39,0.1521,0.039,0.5212,0.3601,0.0414,0.2556,0.9812,0.2476,0.3661,0.6081,1.86,0.5128,0.1245,0.1685,0.1905,0.1941,27.4
2025-12-01,P05,PILATOS JEANS ANDINO BOGOTA,"Bogotá, D.C.",Pilatos,RAMIREZ BALVIN VICTOR MANUEL,0.0864,618956.99,444801.79,0.1673,0.0627,0.6412,0.1759,0.1286,0.1204,0.8199,0.1799,0.1892,0.7591,1.49,0.545,0.0741,0.164,0.1587,0.1746,26.4
2025-12-01,119,PILATOS CARIBE PLAZA CARTAGENA,Cartagena De Indias,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.0863,479459.12,324482.43,0.1405,0.07,0.1007,0.3486,0.4432,0.1622,0.5863,0.134,0.1521,0.6915,1.55,0.1095,0.0323,0.1866,0.194,0.2065,35.9
2025-12-01,739,MFG FUNDADORES MANIZALES,Manizales,MFG,HENAO LOPEZ MARIBEL,0.0859,289306.79,208025.36,0.2036,0.0753,0.3866,0.4547,0.0647,0.3409,0.9579,0.3158,0.285,0.6367,1.49,0.298,0.0596,0.1391,0.1523,0.1656,0.0
2025-12-01,BC2,BROKEN CHAINS BOGOTA,"Bogotá, D.C.",,,0.0857,1000328.67,653002.66,0.0165,0.0327,0.0387,0.1446,0.7791,0.1157,0.1281,0.0679,0.2224,0.3632,1.59,0.0774,0.0216,0.0672,0.0718,0.0763,4.1
2025-12-01,142,PILATOS MEGAMALL BUCARAMANGA,Bucaramanga,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.0857,521428.0,328552.84,0.2156,0.083,0.1676,0.2639,0.4796,0.1514,0.8531,0.2813,0.2568,0.6398,1.69,0.2146,0.0526,0.2227,0.2186,0.2105,33.0
2025-12-01,M03,MFG CARACOLI BUCARAMANGA,Floridablanca,MFG,HENAO LOPEZ MARIBEL,0.0856,476399.83,228793.29,0.1665,0.031,0.5191,0.3598,0.0629,0.1723,0.9404,0.1602,0.3435,0.6315,2.14,0.5199,0.2122,0.1008,0.1194,0.1088,33.8
2025-12-01,738,PILATOS ACCESORIOS MALL PLAZA MANIZALES,Manizales,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.0848,524418.2,485731.61,0.1889,0.0688,0.0029,0.0018,0.8565,0.1399,0.6594,0.2587,0.2377,0.5267,1.14,0.0029,0.0029,0.056,0.0767,0.0796,0.0
2025-12-01,743,MFG CACIQUE,Bucaramanga,MFG,HENAO LOPEZ MARIBEL,0.0837,325515.43,209904.16,0.174,0.0365,0.5411,0.3585,0.0052,0.2271,1.0,0.1973,0.289,0.6943,1.61,0.4531,0.1055,0.0898,0.0977,0.1016,0.0
2025-12-01,13P,PILATOS NQS MALL PLAZA BOGOTA,"Bogotá, D.C.",Pilatos,RAMIREZ BALVIN VICTOR MANUEL,0.0833,629976.66,441522.11,0.207,0.0832,0.1423,0.2711,0.4809,0.2761,0.7956,0.2606,0.1836,0.6876,1.52,0.1301,0.0447,0.0569,0.0894,0.0854,13.3
