CodigoAlmacen,nombrealmacen,Marca,Genero,Tipo,f126_precio,Despacho
PL110,PILATOS JARDIN PLAZA CALI,NIKE,MASCULINO,TENIS,969950.0,26.0
PO319,PILATOS OUTLET LA TORRE ITAGUI,KIPLING,FEMENINO,BOLSO,699900.0,10.0
PL139,PILATOS VIVA VILLAVICENCIO,NEW BALANCE,MASCULINO,TENIS,994900.0,4.0
PL107,PILATOS MALL PLAZA CARTAGENA,DIESEL ADULTO,MASCULINO,JEAN,1499900.0,2.0
PF730,PILATOS SANTA ROSA,CLEMONT,MASCULINO,CAMISETA,380000.0,4.0
PL143,PILATOS CARACOLI BUCARAMANGA,DIESEL ADULTO,FEMENINO,TENIS,1599900.0,3.0
ML626,SUPERDRY CENTRO COMERCIAL EL EDÉN,SUPERDRY,FEMENINO,VESTIDO,349900.0,18.0
ML407,DIESEL EL RETIRO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,1299900.0,3.0
PL151,PILATOS ACCESORIOS VIVA ENVIGADO,AP CROWN,MASCULINO,CAMISETA,320000.0,8.0
ML224,NEW BALANCE PLAZA FABRICATO BELLO,NEW BALANCE,UNISEX,TENIS,539900.0,9.0
PL104,PILATOS BUENAVISTA SANTA MARTA,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,259900.0,4.0
MLM06,MFG VIVA BARRANQUILLA,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,449900.0,27.0
PL113,PILATOS EL TESORO MEDELLIN,REMANENCE,UNISEX,PANTALON,599900.0,1.0
PL335,PILATOS OUTLET AMERICAS 2 BOG,DIESEL ADULTO,FEMENINO,JEAN,1699900.0,13.0
ML429,DIESEL LA QUINTA BUCARAMANGA,DIESEL ADULTO,FEMENINO,BOLSO,2199900.0,2.0
PL146,PILATOS VIVA LC 143 ENVIGADO,NEW BALANCE,FEMENINO,TENIS,659900.0,38.0
PF166,PILATOS CAMPANARIO POPAYAN,DIESEL ADULTO,FEMENINO,TENIS,849900.0,27.0
PF738,PILATOS ACCESORIOS MALL PLAZA MANIZALES,MONASTERY,UNISEX,GORRO,340000.0,11.0
ML605,SUPERDRY MAYORCA SABANETA,NEW BALANCE,MASCULINO,TENIS,1128900.0,4.0
PL08P,PILATOS UNICO BARRANQUILLA,MONASTERY,FEMENINO,ROPA INTERIOR,220000.0,2.0
ML605,SUPERDRY MAYORCA SABANETA,NEW BALANCE,MASCULINO,TENIS,589900.0,4.0
PLP13,PILATOS UNICO CALI 2,MARITHE FRANCOIS GIRBAUD,FEMENINO,GORRO,199900.0,4.0
PLP06,PILATOS FLORIDA PARQUE COMERCIAL,MONASTERY,MASCULINO,CAMISETA,540000.0,2.0
PF726,PILATOS CABLE PLAZA MANIZALES,OAKLEY,MASCULINO,TENIS,449900.0,1.0
BBC4 ,BROKEN CHAINS PEREIRA,MONOIC,UNISEX,BUZO,430000.0,10.0
PL151,PILATOS ACCESORIOS VIVA ENVIGADO,NEW BALANCE,FEMENINO,TENIS,949900.0,8.0
MO422,DIESEL OUTLET MAYORCA SABANETA,DIESEL ADULTO,FEMENINO,BUZO,1499900.0,4.0
PL107,PILATOS MALL PLAZA CARTAGENA,NEW BALANCE,UNISEX,TENIS,649900.0,19.0
PO319,PILATOS OUTLET LA TORRE ITAGUI,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,299900.0,40.0
MO422,DIESEL OUTLET MAYORCA SABANETA,DIESEL ADULTO,FEMENINO,ZAPATOS,2999900.0,1.0
CDEDM,CENTRO DE DISTRIBUCION EDM,KEH-NOO,MASCULINO,TENIS,599900.0,102.0
PF192,PILATOS MALL PLAZA MANIZALES,NEW BALANCE,FEMENINO,TENIS,604900.0,2.0
PO319,PILATOS OUTLET LA TORRE ITAGUI,ADIDAS,UNISEX,GORRO,149950.0,1.0
PO317,PILATOS UNICENTRO PEREIRA,NEW BALANCE,FEMENINO,TENIS,416900.0,10.0
ML424,DIESEL VIVA BARRANQUILLA,DIESEL ADULTO,MASCULINO,BUZO,2399900.0,3.0
ml406,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,RELOJ,1199900.0,1.0
PL18P,PILATOS UNICO BUCARAMANGA,NEW BALANCE,FEMENINO,TENIS,649900.0,4.0
