,Tienda,Marca,Genero,Tipo,Precio_Intervalo,Cantidad_Inventario,Porcentaje_Actual,Porcentaje_Ventas
100,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,TENIS,"[567950.0, 643950.0)",49.0,0.4152542372881356,0.3684210526315789
101,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,TENIS,"[643950.0, 719950.0)",46.0,0.3898305084745763,0.5921052631578947
102,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,TENIS,"[719950.0, 795950.0)",9.0,0.07627118644067797,0.02631578947368421
103,BROKEN CHAINS CALI,ADIDAS,MASCULINO,TENIS,"[559950.0, 619950.0)",24.0,0.4897959183673469,0.1891891891891892
104,BROKEN CHAINS CALI,ADIDAS,MASCULINO,TENIS,"[619950.0, 679950.0)",11.0,0.22448979591836735,0.10810810810810811
105,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,TENIS,"[479950.0, 506950.0)",6.0,0.13636363636363635,0.03076923076923077
106,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,TENIS,"[533950.0, 560950.0)",5.0,0.11363636363636363,0.015384615384615385
107,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,TENIS,"[587950.0, 614950.0)",18.0,0.4090909090909091,0.2
108,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,TENIS,"[641950.0, 668950.0)",9.0,0.20454545454545456,0.03076923076923077
109,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,TENIS,"[695950.0, 722950.0)",2.0,0.045454545454545456,0.7076923076923077
110,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,TENIS,"[722950.0, 750220.0)",4.0,0.09090909090909091,0.015384615384615385
111,BROKEN CHAINS PEREIRA,ADIDAS,MASCULINO,TENIS,"[599950.0, 619950.0)",23.0,0.5111111111111111,0.13636363636363635
112,BROKEN CHAINS PEREIRA,ADIDAS,MASCULINO,TENIS,"[679950.0, 700150.0)",1.0,0.022222222222222223,0.8636363636363636
113,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,BERMUDA,"[599950.0, 600069.99)",2.0,1.0,1.0
114,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,BOLSO,"[167950.0, 215950.0)",5.0,0.5,1.0
115,BROKEN CHAINS CALI,ADIDAS,UNISEX,BOLSO,"[191950.0, 200030.0)",6.0,0.75,1.0
116,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,BOLSO,"[191950.0, 200030.0)",5.0,0.7142857142857143,1.0
117,BROKEN CHAINS PEREIRA,ADIDAS,UNISEX,BOLSO,"[191950.0, 200030.0)",6.0,0.75,1.0
118,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,CAMISETA,"[549950.0, 550059.99)",1.0,1.0,1.0
119,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,CHAQUETA,"[699950.0, 700089.99)",1.0,1.0,1.0
120,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,GORRO,"[221950.0, 230030.0)",1.0,0.1111111111111111,1.0
121,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,GORRO,"[149950.0, 149979.99)",6.0,1.0,1.0
122,BROKEN CHAINS PEREIRA,ADIDAS,UNISEX,GORRO,"[149950.0, 149979.99)",7.0,1.0,1.0
123,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,MEDIAS,"[59950.0, 63950.0)",1.0,0.3333333333333333,1.0
124,BROKEN CHAINS PEREIRA,ADIDAS,UNISEX,MEDIAS,"[95950.0, 99990.0)",2.0,0.5,1.0
125,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,TENIS,"[499950.0, 524950.0)",21.0,0.16279069767441862,0.3333333333333333
126,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,TENIS,"[699950.0, 724950.0)",26.0,0.20155038759689922,0.3333333333333333
127,BROKEN CHAINS BOGOTA,ADIDAS,UNISEX,TENIS,"[724950.0, 750200.0)",23.0,0.17829457364341086,0.3333333333333333
128,BROKEN CHAINS CALI,ADIDAS,UNISEX,TENIS,"[699950.0, 724950.0)",11.0,0.171875,0.25
129,BROKEN CHAINS CALI,ADIDAS,UNISEX,TENIS,"[724950.0, 750200.0)",9.0,0.140625,0.75
130,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,TENIS,"[499950.0, 524950.0)",20.0,0.19230769230769232,0.16666666666666666
131,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,TENIS,"[549950.0, 574950.0)",22.0,0.21153846153846154,0.16666666666666666
132,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,TENIS,"[699950.0, 724950.0)",12.0,0.11538461538461539,0.25
133,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,TENIS,"[724950.0, 750200.0)",19.0,0.18269230769230768,0.4166666666666667
134,BROKEN CHAINS PEREIRA,ADIDAS,UNISEX,TENIS,"[724950.0, 750200.0)",11.0,0.16666666666666666,1.0
135,PILATOS OUTLET LA TORRE ITAGUI,ALPHASTYLE,UNISEX,BERMUDA,"[539900.0, 563900.0)",1.0,0.3333333333333333,0.4444444444444444
136,PILATOS OUTLET CHAPINERO,ALPHASTYLE,UNISEX,CHAQUETA,"[859900.0, 868900.0)",1.0,0.3333333333333333,0.5
137,PILATOS OUTLET CHAPINERO,ALPHASTYLE,UNISEX,CHAQUETA,"[940900.0, 949990.0)",2.0,0.6666666666666666,0.5
138,PILATOS OUTLET CHAPINERO,ALPHASTYLE,UNISEX,PANTALON,"[1159900.0, 1160131.98)",4.0,1.0,1.0
139,PILATOS OUTLET LA TORRE ITAGUI,ALPHASTYLE,UNISEX,PANTALON,"[1099900.0, 1105900.0)",1.0,0.25,0.4
140,PILATOS OUTLET LA TORRE ITAGUI,ALPHASTYLE,UNISEX,PANTALON,"[1153900.0, 1159960.0)",3.0,0.75,0.6
141,PILATOS OUTLET LA TORRE ITAGUI,ALPHASTYLE,UNISEX,ROPA DE BAÑO,"[949900.0, 950089.98)",2.0,1.0,1.0
142,PILATOS OUTLET LA TORRE ITAGUI,ALPHASTYLE,UNISEX,TENIS,"[1299900.0, 1300159.98)",4.0,1.0,1.0
143,PILATOS MEGAMALL BUCARAMANGA,ALPINESTARS,MASCULINO,CORREA,"[82900.0, 82916.58)",1.0,1.0,1.0
144,PILATOS UNICENTRO CALI,ALPINESTARS,MASCULINO,CORREA,"[34900.0, 34906.98)",2.0,1.0,1.0
145,PILATOS ACCESORIOS CALLE 6 POPAYAN,ALPINESTARS,MASCULINO,GORRO,"[112900.0, 117600.0)",1.0,0.08333333333333333,0.17391304347826086
146,PILATOS ACCESORIOS CALLE 6 POPAYAN,ALPINESTARS,MASCULINO,GORRO,"[131700.0, 136400.0)",3.0,0.25,0.2753623188405797
147,PILATOS ACCESORIOS CALLE 6 POPAYAN,ALPINESTARS,MASCULINO,GORRO,"[136400.0, 141100.0)",2.0,0.16666666666666666,0.057971014492753624
148,PILATOS ACCESORIOS CALLE 6 POPAYAN,ALPINESTARS,MASCULINO,GORRO,"[155200.0, 159947.0)",6.0,0.5,0.028985507246376812
149,PILATOS ACCESORIOS MALL PLAZA MANIZALES,ALPINESTARS,MASCULINO,GORRO,"[118900.0, 123000.0)",1.0,0.06666666666666667,0.140625
150,PILATOS ACCESORIOS MALL PLAZA MANIZALES,ALPINESTARS,MASCULINO,GORRO,"[123000.0, 127100.0)",4.0,0.26666666666666666,0.328125
151,PILATOS ACCESORIOS MALL PLAZA MANIZALES,ALPINESTARS,MASCULINO,GORRO,"[135300.0, 139400.0)",3.0,0.2,0.125
