CO,almacen_bodegaedm,almacen_descri,almacen_grupo_canal,almacen_formato_crm
654,ML654,KIPLING GRAN ESTACION BOGOTA,Kipling,Linea
655,ML655,KIPLING EL TESORO MEDELLIN,Kipling,Linea
656,ML656,KIPLING VIVA VILLAVICENCIO,Kipling,Linea
657,ML657,KIPLING OVIEDO MEDELLIN,Kipling,Linea
658,ML658,KIPLING TITAN PLAZA BOGOTA,Kipling,Linea
659,ML659,KIPLING PARQUE LA COLINA BOGOTA,Kipling,Linea
660,ML660,KIPLING VIVA BARRANQUILLA,Kipling,Linea
661,ML661,KIPLING UNICENTRO CALI,Kipling,Linea
662,ML662,KIPLING MALL PLAZA CARTAGENA,Kipling,Linea
663,ML663,KIPLING MULTIPLAZA LA FELICIDAD BOGOTA,Kipling,Linea
664,ML664,KIPLING LA QUINTA BUCARAMANGA,Kipling,Linea
665,ML665,KIPLING CARACOLI BUCARAMANGA,Kipling,Linea
666,ML666,KIPLING DE MODA PRIME OUTLET LC 152,Kipling,Mixta
667,ML667,KIPLING MALL PLAZA MANIZALES,Kipling,Linea
681,FQ681,KIPLING VIVA VILLAVICENCIO,Pilatos,Franquicia
901,ML901,NEW PROJECT MEGA CENTRO MEDELLIN,NewProject,Linea
950,ML950,REPLAY GRAN ESTACION BOGOTA,Replay,Linea
951,ML951,REPLAY TESORO MEDELLIN,Replay,Linea
999,TPVG ,GENERICO,No,No
738,FQ738,PILATOS ACCESORIOS MALL PLAZA MANIZALES,Pilatos,Franquicia
P07,PLP07,PILATOS ACCESORIOS MALL PLAZA CARTAGENA,Pilatos,Linea
717,FQ717,PILATOS SALITRE BOGOTA,Pilatos,Franquicia
722,FQ722,PILATOS NUESTRO CARTAGO,Pilatos,Franquicia
183,FQ183,PILATOS IPIALES,Pilatos,Franquicia
148,PL148,PILATOS ARKADIA LC 175 MEDELLIN,Pilatos,Linea
613,ML613,SUPERDRY ARKADIA LC 255 MEDELLIN,Superdry,Linea
516,ML516,CELIO ARKADIA MEDELLIN,Celio,Linea
517,ML517,CELIO CARACOLI BUCARAMANGA,Celio,Linea
723,FQ723,PILATOS DORADA,Pilatos,Franquicia
190,FQ190,PILATOS QUIBDO,Pilatos,Franquicia
614,ML614,SUPERDRY PLAZA CENTRAL BOGOTA,Superdry,Linea
518,ML518,CELIO PLAZA CENTRAL BOGOTA,Celio,Linea
206,CDEDM,MARKETPLACE ONLINE,Pilatos,Online
520,ML520,CELIO PASEO VILLA DEL RIO BOGOTA,Celio,Linea
150,PL150,PILATOS PASEO VILLA DEL RIO BOGOTA,Pilatos,Outlet
616,ML616,SUPERDRY PASEO VILLA DEL RIO BOGOTA,Superdry,Outlet
191,FQ191,CELIO CABLE PLAZA MANIZALES,Celio,Franquicia
192,FQ192,PILATOS MALL PLAZA MANIZALES,Pilatos,Franquicia
193,FQ193,PILATOS UNICENTRO TUNJA,Pilatos,Franquicia
617,ML617,SUPERDRY GRAN ESTACION BOGOTA,Superdry,Linea
194,FQ194,PILATOS SAN SILVESTRE BARRANCABERMEJA,Pilatos,Franquicia
195,FQ195,PILATOS FUNDADORES MANIZALES,Pilatos,Franquicia
483,ML483,DIESEL TITAN PLAZA BOGOTA,Diesel,Linea
618,ML618,SUPERDRY EL RETIRO BOGOTA,Superdry,Linea
619,ML619,SUPERDRY ARBOLEDA PEREIRA,Superdry,Linea
218,ML218,NEW BALANCE ARBOLEDA,NewBalance,Linea
620,ML620,SUPERDRY MALL PLAZA MANIZALES,Superdry,Linea
196,FQ196,SUPERDRY BIMA BOGOTA,Superdry,Franquicia
712,FQ712,SUPERDRY IPIALES,Superdry,Franquicia
713,FQ713,PILATOS ARAUCA,Pilatos,Franquicia
151,PL151,PILATOS ACCESORIOS VIVA ENVIGADO,Pilatos,Linea
219,ML219,NEW BALANCE VIVA ENVIGADO,NewBalance,Linea
149,PL149,PILATOS NUESTRO BOGOTA,Pilatos,Linea
487,ML487,DIESEL NUESTRO BOGOTA,Diesel,Linea
615,ML615,SUPERDRY NUESTRO BOGOTA,Superdry,Linea
716,FQ716,SUPERDRY VENTURA CUCUTA,Superdry,Franquicia
718,FQ718,SUPERDRY CAMPANARIO POPAYAN,Superdry,Franquicia
153,PL153,PILATOS PLAZA FABRICATO BELLO,Pilatos,Linea
155,PL155,PILATOS ACCESORIOS EL TESORO MEDELLIN,Pilatos,Linea
622,ML622,SUPERDRY PLAZA FABRICATO BELLO,Superdry,Linea
623,ML623,SUPERDRY CARACOLI BUCARAMANGA,Superdry,Linea
668,ML668,KIPLING SANTAFE MEDELLIN,Kipling,Linea
624,ML624,SUPERDRY NQS MALL PLAZA BOGOTA,Superdry,Linea
04P,PL04P,PILATOS GRAN PLAZA DEL SOL BQUILL,Pilatos,Mixta
05P,PL05P,PILATOS NIZA BOGOTA,Pilatos,Mixta
06P,PL06P,PILATOS PEREIRA PLAZA,Pilatos,Mixta
07P,PL07P,PILATOS PREMIUM SOPO,Pilatos,Mixta
08P,PL08P,PILATOS UNICO BARRANQUILLA,Pilatos,Mixta
09P,PL09P,PILATOS UNICO CALI,Pilatos,Mixta
720,FQ720,PILATOS PASTO,Pilatos,Franquicia
10P,PL10P,PILATOS UNICO PASTO,Pilatos,Mixta
11P,PL11P,PILATOS UNICO PEREIRA,Pilatos,Mixta
12P,PL12P,PILATOS UNICO VILLAVICENCIO,Pilatos,Mixta
13P,PL13P,PILATOS NQS MALL PLAZA BOGOTA,Pilatos,Linea
724,FQ724,PILATOS MULTICENTRO IBAGUE,,
719,FQ719,SUPERDRY TERRAPLAZA POPAYAN,Superdry,Franquicia
810,PL810,SMART SALE,Pilatos,Online
721,FQ721,PILATOS ACCESORIOS SAN SILVIESTRE,Pilatos,Franquicia
15P,PL15P,PILATOS UNICENTRO MEDELLIN,Pilatos,Mixta
221,ML221,NEW BALANCE NQS MALLPLAZA BOGOTA,NewBalance,Linea
725,FQ725,PILATOS SANTA ROSA,Pilatos,Mixta
222,ML222,NEW BALANCE MALL PLAZA CARTAGENA,NewBalance,Linea
03P,PL03P,PILATOS GRAN ESTACION 2 BOGOTA,Pilatos,Linea
743,FQ743,MFG CACIQUE,MFG,Franquicia
14P,PL14P,PILATOS SAN NICOLAS RIONEGRO,Pilatos,Mixta
223,ML223,NEW BALANCE MALL PLAZA MANIZALES,NewBalance,Linea
954,ML954,REPLAY ARKADIA MEDELLIN,Replay,Linea
727,FQ727,PILATOS FUNDADORES MANIZALES,Pilatos,Franquicia
726,FQ726,PILATOS CABLE PLAZA MANIZALES,Pilatos,Franquicia
017,PL017,3 ACES DE MODA,,
729,FQ729,PILATOS DORADA,Pilatos,Franquicia
